s,x,y,curvature
51.800000,-1.379943,-26.215756,0.01742009
51.900000,-1.286784,-26.179404,0.01715076
52.000000,-1.193687,-26.142892,0.01687962
52.100000,-1.100652,-26.106223,0.01660677
52.200000,-1.007678,-26.069399,0.01633230
52.300000,-0.914764,-26.032423,0.01605630
52.400000,-0.821910,-25.995298,0.01577886
52.500000,-0.729114,-25.958027,0.01550010
52.600000,-0.636376,-25.920612,0.01525648
52.700000,-0.543695,-25.883055,0.01508698
52.800000,-0.451071,-25.845359,0.01491803
52.900000,-0.358503,-25.807525,0.01474963
53.000000,-0.265991,-25.769554,0.01458178
53.100000,-0.173535,-25.731448,0.01441448
53.200000,-0.081133,-25.693209,0.01424772
53.300000,0.011214,-25.654838,0.01408151
53.400000,0.103506,-25.616337,0.01391583
53.500000,0.195745,-25.577708,0.01375069
53.600000,0.287931,-25.538952,0.01358607
53.700000,0.380064,-25.500071,0.01342199
53.800000,0.472145,-25.461066,0.01325843
53.900000,0.564174,-25.421940,0.01309540
54.000000,0.656151,-25.382692,0.01293288
54.100000,0.748078,-25.343326,0.01277087
54.200000,0.839955,-25.303843,0.01260937
54.300000,0.931781,-25.264243,0.01244838
54.400000,1.023558,-25.224530,0.01228789
54.500000,1.115287,-25.184703,0.01212789
54.600000,1.206966,-25.144766,0.01196839
54.700000,1.298598,-25.104718,0.01180937
54.800000,1.390183,-25.064563,0.01165083
54.900000,1.481721,-25.024301,0.01149278
55.000000,1.573212,-24.983933,0.01133519
55.100000,1.664658,-24.943462,0.01117807
55.200000,1.756058,-24.902889,0.01102142
55.300000,1.847414,-24.862215,0.01086522
55.400000,1.938725,-24.821442,0.01070947
55.500000,2.029993,-24.780571,0.01055417
55.600000,2.121217,-24.739604,0.01039932
55.700000,2.212399,-24.698542,0.01024489
55.800000,2.303538,-24.657387,0.01009090
55.900000,2.394636,-24.616139,0.00993734
56.000000,2.485693,-24.574802,0.00978419
56.100000,2.576710,-24.533375,0.00963146
56.200000,2.667686,-24.491860,0.00947913
56.300000,2.758623,-24.450259,0.00932721
56.400000,2.849521,-24.408574,0.00917568
56.500000,2.940381,-24.366805,0.00902455
56.600000,3.031203,-24.324954,0.00887380
56.700000,3.121988,-24.283022,0.00872342
56.800000,3.212737,-24.241012,0.00857342
56.900000,3.303449,-24.198923,0.00842378
57.000000,3.394126,-24.156758,0.00827451
57.100000,3.484768,-24.114519,0.00812559
57.200000,3.575375,-24.072205,0.00797701
57.300000,3.665949,-24.029819,0.00782878
